STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
THOMASCOTT,Thomas Scott (India) Limited,245,4491.0,0.08,293.89,NO TREND,INCREASING,79.83,2.67,12.68,-0.8,SELL,BUY,BUY,0.11,BUY,False,True,STAY,0.07,0.0,4.76,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300,['DOJI'],100
THYROCARE,Thyrocare Technologies Limited,3123,1443.0,0.04,1016.0,INCREASING,INCREASING,61.24,0.02,42.09,5.56,STAY,BUY,BUY,0.74,STAY,False,False,STAY,-0.33,0.01,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",200,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
TI,Tilaknagar Industries Limited,4056,139530.0,0.12,427.55,INCREASING,INCREASING,77.63,-1.82,18.94,5.03,SELL,BUY,BUY,0.76,STRONG BUY,False,False,STAY,0.12,-0.08,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",-100
TIDEWATER,Tide Water Oil Company (India) Limited,2435,12314.0,1.08,1923.5,NO TREND,INCREASING,59.97,2.28,66.09,2.05,STAY,STRONG BUY,BUY,0.03,STAY,False,False,STAY,-0.57,1.69,0.0,['SPINNINGTOP'],100,,0
TIIL,Technocraft Industries (India) Limited,4539,1171.0,0.07,2902.45,DECREASING,INCREASING,60.69,1.74,120.39,3.98,STAY,BUY,BUY,0.58,STAY,False,True,STAY,-0.43,0.56,0.11,,0,,-100
TIINDIA,Tube Investments of India Limited,72265,6218.0,0.02,3699.4,DECREASING,INCREASING,39.56,1.14,146.29,6.33,BUY,SELL,BUY,0.24,STAY,False,False,STAY,-0.39,-0.0,0.0,,-200,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",500
TIJARIA,Tijaria Polypipes Limited,36,8171.0,0.35,11.73,NO TREND,INCREASING,68.03,4.66,0.43,-2.07,STAY,BUY,BUY,0.09,BUY,False,True,STAY,-0.12,0.0,4.69,,0,['DOJI'],0
TIL,TIL Limited,1088,757.0,0.17,315.0,DECREASING,INCREASING,57.76,5.24,16.89,2.23,STAY,SELL,BUY,0.12,STAY,False,False,STAY,-0.3,-0.63,0.3,,0,,0
TIMESCAN,Timescan Logistics (India) Limited,50,12000.0,2.31,68.75,DECREASING,DECREASING,52.98,7.86,1.65,-7.43,STAY,STRONG BUY,STRONG BUY,0.36,STAY,False,False,STAY,0.47,0.66,4.1,"['KICKING', 'MARUBOZU']",200,['MARUBOZU'],100
TIMESGTY,Times Guaranty Limited,80,37182.0,1.55,177.31,NO TREND,INCREASING,76.14,5.78,9.42,-5.56,SELL,BUY,BUY,0.77,STRONG BUY,True,True,STAY,0.63,6.3,1.27,,0,,0
TIMETECHNO,Time Technoplast Limited,5665,299506.0,0.26,489.55,INCREASING,INCREASING,73.47,1.73,20.22,2.08,SELL,BUY,BUY,0.96,STRONG BUY,False,False,STAY,0.0,0.73,0.11,,0,,-100
TIMKEN,Timken India Limited,21508,644.0,0.01,3401.0,NO TREND,INCREASING,53.7,0.26,92.04,4.75,STAY,BUY,BUY,0.0,STAY,False,False,STAY,-0.09,0.69,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",200,['ENGULFING'],100
TIPSFILMS,Tips Films Limited,291,283.0,0.05,545.6,NO TREND,INCREASING,54.01,2.22,29.65,5.18,STAY,BUY,BUY,0.09,STAY,False,False,STAY,0.4,0.62,0.0,,0,,0
TIRUMALCHM,Thirumalai Chemicals Limited,2395,27444.0,0.05,384.55,INCREASING,INCREASING,77.18,-1.21,14.59,5.29,SELL,BUY,BUY,0.91,BUY,False,False,STAY,0.51,-0.5,0.0,['SPINNINGTOP'],100,,0
TIRUPATI,Shree Tirupati Balajee FIBC Limited,486,0.0,0.0,825.0,DECREASING,INCREASING,43.08,0.0,29.68,7.69,STAY,BUY,SELL,0.24,STRONG SELL,False,False,STAY,-0.25,0.0,0.0,['DOJI'],100,['DOJI'],100
TIRUPATIFL,Tirupati Forge Limited,158,299854.0,1.16,54.42,NO TREND,INCREASING,69.98,5.72,1.64,-4.43,STAY,BUY,BUY,0.16,STRONG BUY,False,True,STAY,-0.3,0.98,2.47,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300,,0
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,12376,137456.0,0.16,1218.9,NO TREND,INCREASING,58.41,4.0,44.04,2.46,STAY,BUY,BUY,0.11,STAY,False,False,STAY,0.22,0.74,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
TITAN,Titan Company Limited,337518,8104.0,0.01,3447.9,INCREASING,INCREASING,63.91,-2.77,77.0,5.38,STAY,BUY,BUY,0.84,STAY,False,False,SELL,-0.18,-0.57,0.0,['SPINNINGTOP'],100,['TASUKIGAP'],100
TMB,Tamilnad Mercantile Bank Limited,7689,30410.0,0.16,497.75,INCREASING,NO TREND,74.5,3.03,13.47,-6.55,SELL,BUY,BUY,0.97,BUY,False,False,SELL,0.47,-2.4,0.0,,-200,,0
TNPETRO,Tamilnadu PetroProducts Limited,701,7438.0,0.04,86.13,NO TREND,INCREASING,68.12,0.29,2.59,4.99,STAY,BUY,BUY,0.42,STAY,False,False,STAY,-0.01,-0.89,0.0,,-200,,0
TNPL,Tamil Nadu Newsprint & Papers Limited,1707,118940.0,0.29,193.5,NO TREND,NO TREND,69.86,3.59,7.38,1.85,STAY,BUY,BUY,0.93,BUY,False,True,STAY,0.38,2.38,0.0,,0,['MARUBOZU'],100
