STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
NTPC,NTPC Limited,325614,5376406.0,0.73,398.15,DECREASING,INCREASING,34.97,0.48,10.56,2.74,BUY,BUY,SELL,0.46,STAY,False,False,STAY,0.23,0.0,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'HIGHWAVE', 'SPINNINGTOP']",600
NUCLEUS,Nucleus Software Exports Limited,3172,6664.0,0.43,1208.45,DECREASING,INCREASING,48.57,1.08,35.06,0.69,STAY,SELL,SELL,0.47,STAY,False,False,STAY,0.48,-0.95,0.0,,0,,0
NURECA,Nureca Limited,255,7899.0,1.0,284.3,DECREASING,DECREASING,35.46,-2.01,14.99,2.33,BUY,BUY,SELL,0.02,STAY,False,False,STAY,0.13,0.82,0.0,,0,,0
NUTEK,Nu Tek India Limited,0,0.0,,0.35,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
NUVAMA,Nuvama Wealth Management Limited,16491,45731.0,0.43,6844.15,INCREASING,INCREASING,48.61,-2.88,333.9,2.06,STAY,BUY,STRONG SELL,0.15,STAY,False,False,STAY,-0.43,-2.23,0.0,,0,,0
NUVOCO,Nuvoco Vistas Corporation Limited,10936,52606.0,0.8,344.55,NO TREND,DECREASING,43.66,-4.74,10.54,1.31,STAY,SELL,STRONG SELL,0.12,STAY,False,False,STAY,0.23,-1.77,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
NYKAA,FSN E-Commerce Ventures Limited,46239,3234729.0,0.6,183.29,DECREASING,INCREASING,45.31,-1.85,5.94,-0.66,STAY,BUY,BUY,0.45,STAY,False,False,STAY,0.26,-0.78,0.0,,0,,0
OAL,Oriental Aromatics Limited,1003,115131.0,1.0,565.7,INCREASING,INCREASING,50.87,-12.84,37.78,-6.29,STAY,BUY,STRONG SELL,0.51,STRONG BUY,False,False,STAY,0.53,-9.15,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,-100
OBCL,Orissa Bengal Carrier Limited,99,5732.0,0.2,57.0,NO TREND,DECREASING,52.09,2.84,1.48,4.51,STAY,BUY,SELL,0.03,STAY,False,False,STAY,-0.23,-0.19,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
OBEROIRLTY,Oberoi Realty Limited,53662,856196.0,0.64,2018.5,INCREASING,INCREASING,57.16,0.16,67.86,1.16,STAY,BUY,BUY,0.54,STAY,False,False,STAY,0.38,-0.1,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
